"","collection_uuid","recordsetQuery","size"
"1","urn:uuid:001c5234-048b-11e5-b0ee-002315492bbc","{""recordset"":""50ca2a08-0e76-4f56-9976-d344dd201a9b""}",1131
"2","urn:uuid:001ca9ae-a3eb-4a5b-a058-09d7e46f8dd2",NA,0
"3","urn:uuid:002a70a8-ff18-11e4-9eb2-002315492bbc","[{""recordset"":""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""udcc""}]",48122
"4","urn:uuid:0067b212-72bd-4baa-b206-2f387e72051f",NA,0
"5","urn:uuid:0068cb01-fba5-4173-8616-2ff59d8240a0","{""recordset"":""6226705f-4867-464d-9fab-4e81ecee731f""}",1453
"6","urn:uuid:0072bfb8-1f2b-46e8-bd2c-38d0a451793f","{""recordset"":""b5d8168e-c310-4870-aa88-eeb3c25256fd""}",6874
"7","urn:uuid:009cd30e-4016-428d-82ce-a3660d42ed93",NA,0
"8","urn:uuid:00bd8325-5240-4c68-a164-ece0223ba73b",NA,0
"9","urn:uuid:010ef0d2-fe1b-4508-b68c-11574185f274",NA,0
"10","urn:uuid:013b0343-08e5-486a-9dcc-f45454536727","{""recordset"":""96588aed-3b7a-4179-b92b-2159427f4fcb""}",5547
"11","urn:uuid:015ff749-28fd-4247-97c3-1cb5c500a550","{""recordset"":""cb2973af-0d5a-4fbf-80ab-ec96ede33ef0""}",17918
"12","urn:uuid:017667e7-fd80-4184-92a6-63196cb9f1d1",NA,0
"13","urn:uuid:01c1679e-1b2f-4a6f-bb7e-4ba6a41ee92b",NA,0
"14","urn:uuid:01e7757d-93c8-4235-811a-2751513eb6ea",NA,0
"15","urn:uuid:0242b632-7f8a-4ceb-960d-c278e19976fb",NA,0
"16","urn:uuid:02675585-57e9-4418-97f3-fd72176df6dd",NA,0
"17","urn:uuid:0284af4b-4eb5-490e-8b01-e2813d7903a0",NA,0
"18","urn:uuid:028ba775-0c54-4ae4-a6eb-c9a3d1b95af6","{""recordset"":""99e84c7d-dd3c-40d9-9526-54f4342cda95""}",1303
"19","urn:uuid:029275c1-4b9a-4db7-a3d1-641905a5ba4e",NA,0
"20","urn:uuid:02a3e8ae-6c29-11e5-bdab-180373b97bac",NA,0
"21","urn:uuid:02b3444a-5f52-4a2c-aea8-5787fa610ea7",NA,0
"22","urn:uuid:02f6f5ab-21b4-4dff-90d3-8bd278b1ff0e","{""recordset"":""ff0d1543-247c-4039-a8ff-cf4fc224c449""}",670
"23","urn:uuid:031969a0-48de-480e-aba5-156c54f0ed9a","{""recordset"":[""181352ea-3598-4f32-b919-c8f6097f4c65"",""05c029de-734c-450a-a41a-56061b7ebb18"",""f4bec217-9676-4fc0-be90-856b4b89d4d1"",""196c4f1c-53f9-480f-a012-dc0522629047"",""25cd5e12-7830-4f46-bf6d-9b6deb706f44""]}",217405
"24","urn:uuid:0336ef27-b97e-45f5-be30-d3ef4703aea9","{""recordset"":""d14d21fe-da24-47e5-81fb-4bfe962ce828""}",10768
"25","urn:uuid:0340d2d6-f7af-49b3-8548-db1169387688",NA,0
"26","urn:uuid:03588c24-fe50-11e4-ac7a-002315492bbc","{""recordset"":""061dfaff-0c45-459e-ac56-738fe4cbe213""}",493
"27","urn:uuid:035abfab-8a24-4287-87d8-51793854a744","{""recordset"":""96662fa9-ff60-495b-912a-284f3b98ed72""}",129402
"28","urn:uuid:036a6a24-2dd9-478c-ac03-9d4b8355ee94","{""recordset"":""ef59f7cc-ed42-45fc-9abc-5edfb2c8caec""}",27392
"29","urn:uuid:0370ffc7-5192-499d-94fc-b7229d0f94b6",NA,0
"30","urn:uuid:03a77b4a-fda9-4b1e-ad2b-62349d08c684",NA,0
"31","urn:uuid:0416d23f-5b8b-453b-9311-973c21fc2559",NA,0
"32","urn:uuid:0447e8aa-58b0-4430-b349-4cb50f4ed9e1",NA,0
"33","urn:uuid:044d5a80-cb0e-471c-b9b9-527c79bde430","{""recordset"":""6f470382-cb0b-4634-a796-2248bfa97fdc""}",5830
"34","urn:uuid:0467de28-b5d7-43e4-bc74-8e384d356d96","{""recordset"":""6e922c92-b37d-4c46-8982-19d945ff8fd1""}",4336
"35","urn:uuid:046cee40-7617-4971-8580-e5784d88ef13","{""recordset"":""86b1f54d-ac01-4c5e-8ed8-09da2689c7a9""}",8802
"36","urn:uuid:048130fb-f013-4297-abfe-648a2bf4b28e","[{""recordset"":""e73fedf0-90ee-4c6d-88dd-49399878fc54""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""ansp""}]",53920
"37","urn:uuid:048ed6f3-2c16-4947-82f6-92fdff459c30",NA,0
"38","urn:uuid:04bcbc38-ab9a-48d8-8d52-b30589b86cd8","{""recordset"":""011880b9-7697-4626-946f-258a68f754cb""}",46817
"39","urn:uuid:054cbf9b-47e0-4321-9bb7-ffaca3aeb598",NA,0
"40","urn:uuid:056f2097-c584-4ea6-b15b-52b92e781769","{""recordset"":""6bb853ab-e8ea-43b1-bd83-47318fc4c345""}",688621
"41","urn:uuid:0572d0e6-16e9-4572-b5b4-1bf9110124eb",NA,0
"42","urn:uuid:05aae347-644b-4c97-9d2d-80d1a7111b23","{""recordset"":""7fcdca8e-7469-480c-8516-cce4e24c37c9""}",59236
"43","urn:uuid:05ae8c6c-21b3-4140-81d5-5a2d776ab2cd","{""recordset"":""f5c38252-89f1-4753-af3a-da8818fe3a86""}",1262
"44","urn:uuid:05cd0986-4195-44aa-a61a-fbade80a8d25","{""recordset"":""540b0fd9-6b39-4217-9e9a-5f452fb6318d""}",81478
"45","urn:uuid:05d096c8-71a4-40b0-a863-312223b60b99","{""recordset"":[""00d9fcc1-c8e2-4ef6-be64-9994ca6a32c3"",""ec4289d8-1114-43b9-9f04-ad809aa1dbe3"",""29d217e3-754b-4a72-9e57-5cd05312e7c0"",""36d35b23-113e-4633-90ec-19d265a3b5f6""]}",4280578
"46","urn:uuid:05e1cfea-8ee9-437b-97be-09d8d7c63e82","{""recordset"":[""0c15e83e-79ee-4ee3-86e3-e5f98a51dc11"",""215eeaf0-0a88-409e-a75d-aec98b7c41eb"",""b1c7a275-21f6-4b66-895d-d497359b34a1"",""caaa464d-e290-4761-8550-75edc6d00119""]}",193561
"47","urn:uuid:06035272-8dd1-4841-bf7c-6d22255b55bc","{""recordset"":""cd9e44d9-40cd-4a75-ab9c-4db2ac9e87ea""}",421
"48","urn:uuid:06729a4b-9714-4469-ac04-5075feebc58b",NA,0
"49","urn:uuid:06b6829e-f186-4664-ad79-38c164b085b1",NA,0
"50","urn:uuid:06e3e47e-5a67-4280-9f0e-acc2cf547021",NA,0
"51","urn:uuid:07107980-ec8e-4b3c-acbf-e30a63e7495b",NA,0
"52","urn:uuid:075d4a15-19e1-4003-a6c1-f8a2c095a0cc",NA,0
"53","urn:uuid:07681538-7e7c-4455-a10a-2fd671709af5",NA,0
"54","urn:uuid:077b7041-2b5b-45cd-a6a9-097cad6014f6",NA,0
"55","urn:uuid:07a7aa2a-5a26-4a6b-a31e-3e185ee24757",NA,0
"56","urn:uuid:07ad48a2-780d-4e1d-b87a-8a17e17f05e3","{""recordset"":""b00cf471-6bbe-4f94-846e-288900398b65""}",6651
"57","urn:uuid:07ed6190-a075-4059-9d52-a28d056f972a",NA,0
"58","urn:uuid:07f24da6-d634-4eca-9862-aab204fbdfc8",NA,0
"59","urn:uuid:08022e0b-b6c0-494e-a301-fe76c2143b91","{""recordset"":""e9607b87-6dcb-4ffa-a4bf-d17ac197ca70""}",440
"60","urn:uuid:083fc2c0-f36f-11e4-b342-002315492bbc",NA,0
"61","urn:uuid:08608977-99ed-4080-b6ac-6edac38205d7","{""recordset"":""95ecb448-3c1f-4145-8565-4f6d51beb62c""}",483168
"62","urn:uuid:08c0c595-c624-41cf-b7ed-83c3c98a0cef",NA,0
"63","urn:uuid:08ce2f42-5009-4222-91eb-48e8f1522eda","{""recordset"":[""9b34b218-efb2-43b9-9b9e-dac3c470a9f9"","" 821c1855-6817-40ee-8732-7f472d238513"","" 8445ab25-ff89-44b0-90f8-bf0790f50afc"","" b6ec6203-09db-4d6e-8cba-ee4bebd2934c"","" df22987f-d20d-41db-b8eb-8b5f5fca6df0"","" d55edb72-ed5a-4d59-ac23-6329f4c0c232\""""]}",4663
"64","urn:uuid:0907a39f-7d49-41db-816b-cc4143f0fffe","{""recordset"":""7e43ea77-d2e5-4bdc-a4f7-a4792866f53f""}",1786
"65","urn:uuid:09269f75-48ed-4326-b1d6-a44bea459f8c",NA,0
"66","urn:uuid:095641ad-9727-4b07-baf3-f470e5d2b200",NA,0
"67","urn:uuid:097979e6-abab-4b37-86a2-ab04af3b7cb8",NA,0
"68","urn:uuid:09997b24-dca7-4bf3-afb9-4f025fe20935","{""recordset"":""3ad82604-c4b3-4fd0-b03e-d8f874062146""}",126002
