uuid	name	publisher_uuid	file_link	first_seen	pub_date	file_harvest_date
NULL	Coleção de Entomologia do Museu Nacional / UFRJ - Version 1.10	6cf095bf-368f-45a0-b1e1-4210240cd624	https://ipt.sibbr.gov.br/mnrj/archive.do?r=entomologica_1	2017-10-16 08:55:44.738307	2018-04-13 17:27:26	NULL
NULL	20th century Betula pubescens ssp. czerepanovii tree- and forest lines in Norway - Version 1.1	fe1636ab-bdc4-4b23-a104-294e9e7c3bfa	https://data.gbif.no/ipt/archive.do?r=uio_nhm_forest_lines	2017-10-18 07:48:04.553835	2018-07-09 07:44:58	NULL
NULL	Données d'occurrences RLA Flore NC - Version 1.0	47dc2b5f-2c3f-485c-a9dd-e1ba77d88551	http://ipt.gbif.fr/archive.do?r=endemia_nc	2017-10-19 06:11:55.929587	2018-02-26 09:16:14	NULL
NULL	Liste des taxons évalués RLA Flore NC - Version 1.0	47dc2b5f-2c3f-485c-a9dd-e1ba77d88551	http://ipt.gbif.fr/archive.do?r=endemia_nc_rl	2017-10-19 07:16:39.803604	2017-10-19 11:38:16	NULL
NULL	Rhopalocera of Martinique - Version 1.0	47dc2b5f-2c3f-485c-a9dd-e1ba77d88551	http://ipt.gbif.fr/archive.do?r=confluences_rhopalo_mq	2017-10-20 12:19:40.404174	2018-05-02 16:02:16	NULL
NULL	CHRB DwC-Archive	c6114a0f-85cc-4f97-a0cf-3e9662e1dcd6	http://macroalgae.org/portal/content/dwca/CHRB_DwC-A.zip	2017-10-23 10:20:12.59824	2017-10-23 06:22:32	NULL
NULL	SD DwC-Archive	c6114a0f-85cc-4f97-a0cf-3e9662e1dcd6	http://macroalgae.org/portal/content/dwca/SD_DwC-A.zip	2017-10-23 10:20:12.59824	2017-10-23 06:22:32	NULL
NULL	ILL DwC-Archive	e9c875f0-d9c9-426b-bdc8-0999eb1b6deb	http://mycoportal.org/portal/content/dwca/ILL_DwC-A.zip	2017-10-29 14:40:27.178799	2017-10-29 11:00:21	NULL
NULL	Paleobiology Database - Version 1.1	842a2bb5-d705-4d6c-8401-abf3ca28c05d	http://ipt.vertnet.org:8080/ipt/archive.do?r=pbdb_paleo	2017-11-01 12:59:14.141749	2017-11-03 10:42:41	NULL
NULL	Richard Staniforth Herbarium (UWPG) - Version 2.0	36b3c4ad-dc51-4946-8f6d-4ac88b76657a	http://data.canadensys.net/ipt/archive.do?r=uwpg-specimens	2017-11-03 10:55:32.57785	2017-11-03 15:23:42	NULL
NULL	Paleobiology Database Chordates - Version 1.1	e699547d-080e-431a-8d9b-3d56e39808f0	http://ipt.vertnet.org:8080/iptstrays/archive.do?r=pbdb_verts	2017-11-05 20:26:25.892738	2018-07-12 19:49:19	NULL
NULL	Collection Claude Berthault (BOUM) - Version 1.0	47dc2b5f-2c3f-485c-a9dd-e1ba77d88551	http://ipt.gbif.fr/archive.do?r=boum_berthault	2017-11-06 09:21:26.650336	2017-11-06 13:54:06	NULL
NULL	Mycoblitz 2017 - IRBV et Cercle des Mycologues de Montréal - Version 1.0	36b3c4ad-dc51-4946-8f6d-4ac88b76657a	http://data.canadensys.net/ipt/archive.do?r=cmmf-mycoblitz2017	2017-11-20 11:51:46.620703	2017-11-20 15:52:02	NULL
NULL	CERMES Barbados Lionfish Derby Data - Version 1.5	842a2bb5-d705-4d6c-8401-abf3ca28c05d	http://ipt.vertnet.org:8080/ipt/archive.do?r=cermes_lionfishderby	2017-11-29 16:49:55.596199	2018-01-23 17:10:45	NULL
NULL	CERMES Barbados Lionfish Sightings 2012 - Version 1.4	842a2bb5-d705-4d6c-8401-abf3ca28c05d	http://ipt.vertnet.org:8080/ipt/archive.do?r=cermes_sightings2012	2017-11-29 16:49:55.596199	2018-01-23 17:10:52	NULL
NULL	nnf_verdisetting_vestlandet - Version 1.2	fe1636ab-bdc4-4b23-a104-294e9e7c3bfa	https://data.gbif.no/ipt/archive.do?r=nnf_verdisetting_vestlandet	2017-11-30 03:41:52.966612	2018-07-09 07:45:00	NULL
NULL	FBIP: IZIKO Marine Bony Fish (1884-2013) - Version 1.1	eb8a7152-fa35-44ff-add9-342cad7cbb4c	http://ipt.sanbi.org.za/iptsanbi/archive.do?r=fbip_iziko_bony_fish	2017-12-05 15:35:16.257132	2018-06-22 14:41:40	NULL
