uuid,name,publisher_uuid,file_link,first_seen,pub_date,file_harvest_date
,Swedish Bird Survey: Winter point count routes (Vinterpunktrutterna) - Version 1.3,baaa8f8c-4a78-4dcf-b207-25289a6d533d,https://www.gbif.se/ipt/archive.do?r=lu_sft_vpkt,"""2021-12-20T19:01:01.212572""","""2022-07-08T13:03:12""",
,"Coleção Entomológica do Setor Palotina, Universidade Federal do Paraná - Version 1.1",ec58fca2-5760-4dcf-8943-130a5af5f1fe,https://ipt.sibbr.gov.br/taxonline/archive.do?r=cesp_ufpr_01,"""2021-12-21T18:40:19.309485""","""2022-12-09T18:51:49""",
,Phengaris - Version 1.0,47dc2b5f-2c3f-485c-a9dd-e1ba77d88551,https://ipt.gbif.fr/archive.do?r=phengaris,"""2021-12-22T13:58:12.929981""","""2021-12-22T13:32:00""",
,Wild bees of Grand Staircase-Escalante National Monument - Version 1.8,5ee0c6b1-b9f6-4f62-8029-f970eae13200,https://bison.usgs.gov/ipt/archive.do?r=usda-gsenm-inventory,"""2021-12-22T23:43:11.59983""","""2021-12-23T01:23:05""",
,"Bee Fauna of National Wildlife Refuges in the Pacific Northwest, 2010-2016 - Version 1.3",5ee0c6b1-b9f6-4f62-8029-f970eae13200,https://bison.usgs.gov/ipt/archive.do?r=usda-fws-nwr-beefauna-pacific-nw,"""2021-12-23T00:50:08.911667""","""2021-12-23T00:43:32""",
,APSC DwC-Archive,b8a7e87d-df2a-44f3-bd62-545d8443bad8,https://nansh.org/portal/content/dwca/APSC_DwC-A.zip,"""2022-01-03T22:38:14.777457""","""2022-04-01T06:42:01""",
,BLM-SLV DwC-Archive,b8a7e87d-df2a-44f3-bd62-545d8443bad8,https://nansh.org/portal/content/dwca/BLM-SLV_DwC-A.zip,"""2022-01-03T22:38:14.777457""","""2022-04-01T06:42:01""",
,SUCO DwC-Archive,b8a7e87d-df2a-44f3-bd62-545d8443bad8,https://nansh.org/portal/content/dwca/SUCO_DwC-A.zip,"""2022-01-03T22:38:14.777457""","""2022-04-01T06:42:01""",
,TSJC DwC-Archive,b8a7e87d-df2a-44f3-bd62-545d8443bad8,https://nansh.org/portal/content/dwca/TSJC_DwC-A.zip,"""2022-01-03T22:38:14.777457""","""2022-04-01T06:42:01""",
,BENN DwC-Archive,b8a7e87d-df2a-44f3-bd62-545d8443bad8,https://nansh.org/portal/content/dwca/BENN_DwC-A.zip,"""2022-01-03T22:38:14.777457""","""2022-04-01T06:42:01""",
,occurrences_afrotropical_bees_idigbio - Version 1.2,4fd1efcb-1528-4236-95cf-8419dcca7f4e,https://ipt.saiab.ac.za/archive.do?r=occurrences_afrotropical_bees_idigbio,"""2022-01-09T07:31:03.671871""","""2016-07-13T13:17:37""",
,acdb_dna - Version 1.5,4fd1efcb-1528-4236-95cf-8419dcca7f4e,https://ipt.saiab.ac.za/archive.do?r=acdb_dna,"""2022-01-09T07:31:03.671871""","""2018-07-02T13:07:29""",
,"AVJNF: Vilsted Sø, Odonata survey - Version 1.0",26281097-694b-483d-ae22-676a2a448bf1,https://danbif.au.dk/ipt/archive.do?r=avjnf_vilsted-lake_odonata,"""2022-01-10T09:38:10.113126""","""2022-07-05T12:48:18""",
,Oklahoma Vascular Plants Database - Version 1.3,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=okl-herb,"""2022-01-12T02:38:47.391454""","""2018-09-24T16:04:23""",
,TEST for oVert - Version 1.16,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=test,"""2022-01-12T02:38:47.391454""","""2018-02-23T21:39:08""",
,Auburn University Museum of Natural History Bryophytes - Version 1.5,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=aum-bryophytes,"""2022-01-12T02:38:47.391454""","""2019-08-28T14:38:37""",
,LSU Shirley C. Tucker Herbarium at Louisiana State University - Vascular Plants - Version 1.9,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=lsu-vascularplants,"""2022-01-12T02:38:47.391454""","""2018-06-21T21:33:07""",
,LSU Shirley C. Tucker Herbarium at Louisiana State University - Algae - Version 1.10,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=lsu-algae,"""2022-01-12T02:38:47.391454""","""2018-06-21T21:36:01""",
,LSUM Bernard Lowy Mycological Herbarium at Louisiana State University - Fungi - Version 1.7,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=lsum-fungi,"""2022-01-12T02:38:47.391454""","""2018-06-21T21:37:57""",
,LSU Shirley C. Tucker Herbarium at Louisiana State University - Lichens - Version 1.11,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=lsu-lichens,"""2022-01-12T02:38:47.391454""","""2018-06-21T21:35:22""",
,Aggregated occurrence records of the federally endangered Poweshiek skipperling (Oarisma poweshiek) - Version 1.10,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=cmc,"""2022-01-12T02:38:47.391454""","""2018-10-02T19:19:27""",
,MCNH Museum of Cultural and Natural History Reptile Collection - Version 1.14,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=mcnh-reptile,"""2022-01-12T02:38:47.391454""","""2019-03-08T14:32:38""",
,"University of California Riverside, Entomology Research Museum - Version 1.2",ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=ucrc,"""2022-01-12T02:38:47.391454""","""2019-05-22T23:23:54""",
,DAV UC Davis Center for Plant Diversity - Version 1.4,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=ucdavis-herb,"""2022-01-12T02:38:47.391454""","""2016-11-21T17:09:15""",
,LSU Shirley C. Tucker Herbarium at Louisiana State University - Bryophytes - Version 1.9,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=lsu-bryophytes,"""2022-01-12T02:38:47.391454""","""2018-06-21T21:40:05""",
,Auburn University Museum of Natural History Algae - Version 1.1,ab5bdf3a-6283-41c7-ac16-9ba46381aa24,https://ipt.idigbio.org/archive.do?r=aum-algae,"""2022-01-12T02:38:47.391454""","""2019-08-28T15:47:21""",
,Human observations belonging to Biorehab Klepsland - Version 1.0,fe1636ab-bdc4-4b23-a104-294e9e7c3bfa,https://ipt.gbif.no/archive.do?r=biorehab-klepsland,"""2022-01-19T13:55:32.816412""","""2022-01-28T12:37:10""",
,La collection des Chiroptères (BOUM) - Version 1.0,47dc2b5f-2c3f-485c-a9dd-e1ba77d88551,https://ipt.gbif.fr/archive.do?r=boum_chiro,"""2022-01-19T17:58:52.688409""","""2022-07-05T14:55:21""",
,Royal Ontario Museum - Entomology Collection - Version 2.0,36b3c4ad-dc51-4946-8f6d-4ac88b76657a,https://data.canadensys.net/ipt/archive.do?r=rome-saturniidae-test,"""2022-01-19T21:40:39.165549""","""2022-01-19T21:37:26""",
,Benthic marine diatoms from French coastal and transitional waters - Version 1.3,47dc2b5f-2c3f-485c-a9dd-e1ba77d88551,https://ipt.gbif.fr/archive.do?r=benthic-marine-diatoms,"""2022-01-25T16:08:23.320308""","""2022-01-26T12:53:42""",
,Lundell Portal TEX - Version 1.1,5ded2005-0563-4737-9830-e951dab59c66,http://ipt.tacc.utexas.edu/archive.do?r=lundell_tex,"""2022-01-25T20:46:03.22015""","""2022-12-08T21:57:16""",
,Lundell Portal LL - Version 1.1,5ded2005-0563-4737-9830-e951dab59c66,http://ipt.tacc.utexas.edu/archive.do?r=lundell_ll,"""2022-01-25T21:53:37.46039""","""2022-12-08T21:24:15""",
,MORA Vascular Plants DwC-Archive,376fa211-e1b1-436c-937e-316a9d6bbd85,http://www.pnwherbaria.org/data/getdataset.php?File=MORA_Vascular_DwCA.zip,"""2022-01-26T13:07:07.751276""","""2022-11-18T11:04:11""",
,Abundance of zooplankton during the polar night (cruise in January 2017) at 13 stations using a 64um-mesh Multinet - Version 1.0,fe1636ab-bdc4-4b23-a104-294e9e7c3bfa,https://ipt.gbif.no/archive.do?r=uit-2017-cruise-zooplankton-abundance,"""2022-01-27T14:58:12.225896""","""2022-12-06T13:31:19""",
,OLYM Vascular Plants DwC-Archive,376fa211-e1b1-436c-937e-316a9d6bbd85,http://www.pnwherbaria.org/data/getdataset.php?File=OLYM_Vascular_DwCA.zip,"""2022-01-28T11:14:41.630357""","""2022-11-18T11:04:11""",
,Données Biodiversité Raffinerie de Donges - Version 1.0,47dc2b5f-2c3f-485c-a9dd-e1ba77d88551,https://ipt.gbif.fr/archive.do?r=total_donges,"""2022-01-31T14:00:55.466823""","""2022-01-31T13:26:22""",
,Données Biodiversité Raffinerie de Donges (suivi ornithologique ACROLA) - Version 1.0,47dc2b5f-2c3f-485c-a9dd-e1ba77d88551,http://ipt.gbif.fr/archive.do?r=total_donges_ornitho,"""2022-01-31T15:05:03.164605""","""2022-01-31T14:06:12""",
