"","name","publisher_uuid","file_link","pub_date"
"1","Amphibian Specimens - Version 101.169","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=amphibian","2020-02-03 14:06:43"
"2","Birds Specimens - Version 107.279","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=birds","2022-02-28 16:37:55"
"3","Reptile Specimens - Version 106.287","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=reptile","2022-02-28 17:03:39"
"4","Nest Specimen - Version 101.286","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=nest","2022-02-28 15:25:13"
"5","Tissues Specimens - Version 103.273","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=tissue","2022-02-28 17:03:18"
"6","Invert Paleo Specimens - Version 32.286","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=invert-paleo","2022-02-28 19:23:50"
"7","Recent Invertebrates Specimens - Version 101.172","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=recinv","2022-02-28 20:33:32"
"8","Fish Specimens - Version 107.287","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=fish","2022-02-28 16:46:06"
"9","Vert Paleo Specimen - Version 1.192","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=vertpaleo","2022-02-28 16:54:17"
"10","Mammals Specimens - Version 97.286","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=mammals","2022-02-28 20:34:54"
"11","Paleobotany Specimens - Version 2.201","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=paleobotany","2022-02-25 21:59:48"
"12","Eggs Specimen - Version 106.287","e372a31d-2760-42b1-9b76-39f1a6a04206","http://65.52.215.125/ipt/resource?r=eggs","2022-02-28 20:27:31"
"13","ALA DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/ALA_DwC-A.zip","2022-12-08 10:42:28"
"14","ARIZ DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/ARIZ_DwC-A.zip","2022-12-08 10:42:28"
"15","ASU DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/ASU_DwC-A.zip","2022-12-08 10:42:28"
"16","AUA DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/AUA_DwC-A.zip","2022-12-08 10:42:28"
"17","BALT DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/BALT_DwC-A.zip","2022-12-08 10:42:28"
"18","BING DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/BING_DwC-A.zip","2022-12-08 10:42:28"
"19","BM-Bryophytes DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/BM-Bryophytes_DwC-A.zip","2022-12-08 10:42:28"
"20","BRIT DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/BRIT_DwC-A.zip","2022-12-08 10:42:28"
"21","BUT DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/BUT_DwC-A.zip","2022-12-08 10:42:28"
"22","CGCC DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/CGCC_DwC-A.zip","2022-12-08 10:42:28"
"23","CHRB DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/CHRB_DwC-A.zip","2022-12-08 10:42:28"
"24","CHSC DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/CHSC_DwC-A.zip","2022-12-08 10:42:28"
"25","CINC DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/CINC_DwC-A.zip","2022-12-08 10:42:28"
"26","COLO-B DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/COLO-B_DwC-A.zip","2022-12-08 10:42:28"
"27","CSCN DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/CSCN_DwC-A.zip","2022-12-08 10:42:28"
"28","DAV-Bryophytes DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/DAV-Bryophytes_DwC-A.zip","2022-12-08 10:42:28"
"29","DUKE DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/DUKE_DwC-A.zip","2022-12-08 10:42:28"
"30","EWU-Bryophytes DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/EWU-Bryophytes_DwC-A.zip","2022-12-08 10:42:28"
"31","F-Botany DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/F-Botany_DwC-A.zip","2022-12-08 10:42:28"
"32","FH DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/FH_DwC-A.zip","2022-12-08 10:42:28"
"33","FLAS DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/FLAS_DwC-A.zip","2022-12-08 10:42:28"
"34","GEO DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/GEO_DwC-A.zip","2022-12-08 10:42:28"
"35","HPSU DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/HPSU_DwC-A.zip","2022-12-08 10:42:28"
"36","HXC DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/HXC_DwC-A.zip","2022-12-08 10:42:28"
"37","Harvard University-NEBC DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/HarvardUniversity-NEBC_DwC-A.zip","2022-12-08 10:42:28"
"38","ILL DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/ILL_DwC-A.zip","2022-12-08 10:42:28"
"39","ILLS DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/ILLS_DwC-A.zip","2022-12-08 10:42:28"
"40","ISC DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/ISC_DwC-A.zip","2022-12-08 10:42:28"
"41","KE DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/KE_DwC-A.zip","2022-12-08 10:42:28"
"42","KSP DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/KSP_DwC-A.zip","2022-12-08 10:42:28"
"43","LCDI DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/LCDI_DwC-A.zip","2022-12-08 10:42:28"
"44","LKHD DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/LKHD_DwC-A.zip","2022-12-08 10:42:28"
"45","LSU-Bryophytes DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/LSU-Bryophytes_DwC-A.zip","2022-12-08 10:42:28"
"46","MAINE DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MAINE_DwC-A.zip","2022-12-08 10:42:28"
"47","MCTC DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MCTC_DwC-A.zip","2022-12-08 10:42:28"
"48","MICH DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MICH_DwC-A.zip","2022-12-08 10:42:28"
"49","MIN DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MIN_DwC-A.zip","2022-12-08 10:42:28"
"50","MISS-Bryophytes DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MISS-Bryophytes_DwC-A.zip","2022-12-08 10:42:28"
"51","MNA-Bryophytes DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MNA-Bryophytes_DwC-A.zip","2022-12-08 10:42:28"
"52","MO-Bryophytes DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MO-Bryophytes_DwC-A.zip","2022-12-08 10:42:28"
"53","MONTU DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MONTU_DwC-A.zip","2022-12-08 10:42:28"
"54","MOR DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MOR_DwC-A.zip","2022-12-08 10:42:28"
"55","MSC DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MSC_DwC-A.zip","2022-12-08 10:42:28"
"56","MU DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/MU_DwC-A.zip","2022-12-08 10:42:28"
"57","NCU-Bryophytes DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/NCU-Bryophytes_DwC-A.zip","2022-12-08 10:42:28"
"58","NEB DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/NEB_DwC-A.zip","2022-12-08 10:42:28"
"59","NEBK DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/NEBK_DwC-A.zip","2022-12-08 10:42:28"
"60","NHA DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/NHA_DwC-A.zip","2022-12-08 10:42:28"
"61","OBI DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/OBI_DwC-A.zip","2022-12-08 10:42:28"
"62","OS DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/OS_DwC-A.zip","2022-12-08 10:42:28"
"63","PH DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/PH_DwC-A.zip","2022-12-08 10:42:28"
"64","SJFM DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/SJFM_DwC-A.zip","2022-12-08 10:42:28"
"65","SNM DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/SNM_DwC-A.zip","2022-12-08 10:42:28"
"66","SRP DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/SRP_DwC-A.zip","2022-12-08 10:42:28"
"67","STNF DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/STNF_DwC-A.zip","2022-12-08 10:42:28"
"68","SUCO DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/SUCO_DwC-A.zip","2022-12-08 10:42:28"
"69","SYKO DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/SYKO_DwC-A.zip","2022-12-08 10:42:28"
"70","TENN DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/TENN_DwC-A.zip","2022-12-12 09:31:28"
"71","TNS DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/TNS_DwC-A.zip","2022-12-08 10:42:28"
"72","TROY DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/TROY_DwC-A.zip","2022-12-08 10:42:28"
"73","TTC-Bryophytes DwC-Archive","4e1beef9-d7c0-4ac0-87df-065bc5a55361","https://bryophyteportal.org/portal/content/dwca/TTC-Bryophytes_DwC-A.zip","2022-12-08 10:42:28"
